date,leader,role,approve,disapprove,undecided,net,printings,agreeing,disputed,date_basis,label,first_issue,issues
1984-07-14,hawke,pm,71,18,11,53,6,6,0,printed,"July 7/14",1984-08-28,nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1505163419 nla.obj-1505417297
1984-07-14,peacock,opposition,36,44,20,-8,6,6,0,printed,"July 7/14",1984-08-28,nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1505163419 nla.obj-1505417297
1984-07-28,hawke,pm,68,20,12,48,6,6,0,printed,"July 21/28",1984-08-28,nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1505163419 nla.obj-1505417297
1984-07-28,peacock,opposition,37,42,21,-5,6,6,0,printed,"July 21/28",1984-08-28,nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1505163419 nla.obj-1505417297
1984-08-11,hawke,pm,68,21,11,47,9,9,0,printed,"August 4/11",1984-08-28,nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1504940851 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505665263 nla.obj-1506350534
1984-08-11,peacock,opposition,35,43,22,-8,11,11,0,printed,"August 4/11",1984-08-28,nla.obj-1504189789 nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1504940851 nla.obj-1505016111 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505665263 nla.obj-1505859240 nla.obj-1506350534
1984-08-25,hawke,pm,69,20,11,49,10,10,0,printed,"August 18/25",1984-09-11,nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1504940851 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-08-25,peacock,opposition,37,46,17,-9,10,10,0,printed,"August 18/25",1984-09-11,nla.obj-1504352368 nla.obj-1504789973 nla.obj-1504841560 nla.obj-1504940851 nla.obj-1505016111 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505665263 nla.obj-1505859240 nla.obj-1506350534
1984-09-08,hawke,pm,68,22,10,46,10,10,0,printed,"Sept 1/8",1984-09-25,nla.obj-1504789973 nla.obj-1504841560 nla.obj-1504940851 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-09-08,peacock,opposition,34,48,18,-14,11,11,0,printed,"Sept 1/8",1984-09-25,nla.obj-1504789973 nla.obj-1504841560 nla.obj-1504940851 nla.obj-1505016111 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-09-16,hawke,pm,66,22,12,44,9,9,0,printed,"Sept 15/16",1984-10-02,nla.obj-1504841560 nla.obj-1504940851 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-09-16,peacock,opposition,25,58,17,-33,10,10,0,printed,"Sept 15/16",1984-10-02,nla.obj-1504841560 nla.obj-1504940851 nla.obj-1505016111 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-09-23,hawke,pm,67,22,11,45,8,8,0,printed,"Sept 22/23",1984-10-09,nla.obj-1504940851 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-09-23,peacock,opposition,25,61,14,-36,9,9,0,printed,"Sept 22/23",1984-10-09,nla.obj-1504940851 nla.obj-1505016111 nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-09-30,hawke,pm,69,20,11,49,7,7,0,printed,"Sep 29/30",1984-10-23,nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-09-30,peacock,opposition,22,64,14,-42,7,7,0,printed,"Sept 29/30",1984-10-16,nla.obj-1505016111 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-10-06,peacock,opposition,20,67,13,-47,1,1,0,printed,"Oct 6/6",1984-11-20,nla.obj-1505765037
1984-10-07,hawke,pm,69,23,8,46,7,7,0,printed,"Oct 6/7",1984-10-23,nla.obj-1505163419 nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-10-07,peacock,opposition,20,67,13,-47,5,5,0,printed,"October 6/7",1984-10-30,nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505859240 nla.obj-1506350534
1984-10-12,hawke,pm,67,21,12,46,1,1,0,printed,"Oct 20/12",1984-11-13,nla.obj-1505665263
1984-10-14,hawke,pm,68,20,12,48,6,6,0,printed,"October 13/14",1984-10-30,nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-10-14,peacock,opposition,19,66,15,-47,6,6,0,printed,"October 13/14",1984-10-30,nla.obj-1505417297 nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-10-21,hawke,pm,67,21,12,46,4,4,0,printed,"Oct 20/21",1984-11-06,nla.obj-1505582795 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-10-21,peacock,opposition,24,63,13,-39,5,5,0,printed,"Oct 20/21",1984-11-06,nla.obj-1505582795 nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-10-28,hawke,pm,67,21,12,46,4,4,0,printed,"Oct 27/28",1984-11-13,nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-10-28,peacock,opposition,24,61,15,-37,4,4,0,printed,"Oct 27/28",1984-11-13,nla.obj-1505665263 nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-11-04,hawke,pm,68,23,9,45,3,3,0,printed,"Nov 3/4",1984-11-20,nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-11-04,peacock,opposition,28,61,11,-33,3,3,0,printed,"Nov 3/4",1984-11-20,nla.obj-1505765037 nla.obj-1505859240 nla.obj-1506350534
1984-11-11,hawke,pm,71,19,10,52,2,2,0,printed,"Nov 10/11",1984-11-27,nla.obj-1505859240 nla.obj-1506350534
1984-11-11,peacock,opposition,29,57,14,-28,2,2,0,printed,"Nov 10/11",1984-11-27,nla.obj-1505859240 nla.obj-1506350534
1984-11-18,hawke,pm,67,24,9,43,2,2,0,printed,"Nov 17/18",1984-11-27,nla.obj-1505859240 nla.obj-1506350534
1984-11-18,peacock,opposition,31,55,14,-24,2,2,0,printed,"Nov 17/18",1984-11-27,nla.obj-1505859240 nla.obj-1506350534
1984-11-25,hawke,pm,67,24,9,43,1,1,0,printed,"Nov 24/25",1984-12-04,nla.obj-1506350534
1984-11-25,peacock,opposition,37,50,13,-13,1,1,0,printed,"Nov 24/25",1984-12-04,nla.obj-1506350534
