slug,kind,first_capture,wayback_url
newspoll-july-20-23,newspoll,20170914011301,https://web.archive.org/web/20170914011301id_/http://www.galaxyresearch.com.au:80/newspoll-july-20-23/
newspoll-july-6-9,newspoll,20180314153052,https://web.archive.org/web/20180314153052id_/http://www.galaxyresearch.com.au/newspoll-july-6-9/
newspoll-june-15-18,newspoll,20171125115712,https://web.archive.org/web/20171125115712id_/http://www.galaxyresearch.com.au/newspoll-june-15-18/
newspoll-june-2-5,newspoll,20160630102126,https://web.archive.org/web/20160630102126id_/http://www.galaxyresearch.com.au:80/newspoll-june-2-5/
newspoll-march-16-19,newspoll,20170517191552,https://web.archive.org/web/20170517191552id_/http://www.galaxyresearch.com.au:80/newspoll-march-16-19/
newspoll-march-31-april-3,newspoll,20160619005656,https://web.archive.org/web/20160619005656id_/http://www.galaxyresearch.com.au:80/newspoll-march-31-april-3/
newspoll-may-11-14,newspoll,20180314154127,https://web.archive.org/web/20180314154127id_/http://www.galaxyresearch.com.au/newspoll-may-11-14/
newspoll-nov-30-dec-3,newspoll,20180314144501,https://web.archive.org/web/20180314144501id_/http://www.galaxyresearch.com.au/newspoll-nov-30-dec-3/
newspoll-november-17-20,newspoll,20170218104441,https://web.archive.org/web/20170218104441id_/http://www.galaxyresearch.com.au/newspoll-november-17-20/
newspoll-november-19-22,newspoll,20160120234728,https://web.archive.org/web/20160120234728id_/http://www.galaxyresearch.com.au/newspoll-november-19-22/
newspoll-november-3-6,newspoll,20170218104453,https://web.archive.org/web/20170218104453id_/http://www.galaxyresearch.com.au/newspoll-november-3-6/
newspoll-november-5-8,newspoll,20160120225402,https://web.archive.org/web/20160120225402id_/http://www.galaxyresearch.com.au/newspoll-november-5-8/
newspoll-oct-22-25,newspoll,20160119225923,https://web.archive.org/web/20160119225923id_/http://www.galaxyresearch.com.au/newspoll-oct-22-25/
newspoll-october-12-15,newspoll,20180314150140,https://web.archive.org/web/20180314150140id_/http://www.galaxyresearch.com.au/newspoll-october-12-15/
newspoll-october-20-23,newspoll,20170218104501,https://web.archive.org/web/20170218104501id_/http://www.galaxyresearch.com.au/newspoll-october-20-23/
newspoll-october-26-29,newspoll,20180314150119,https://web.archive.org/web/20180314150119id_/http://www.galaxyresearch.com.au/newspoll-october-26-29/
newspoll-october-6-9,newspoll,20170218104510,https://web.archive.org/web/20170218104510id_/http://www.galaxyresearch.com.au/newspoll-october-6-9/
newspoll-sep-3-6,newspoll,20160120222510,https://web.archive.org/web/20160120222510id_/http://www.galaxyresearch.com.au/newspoll-sep-3-6/
newspoll-september-21-24,newspoll,20180314150153,https://web.archive.org/web/20180314150153id_/http://www.galaxyresearch.com.au/newspoll-september-21-24/
newspoll-september-22-25,newspoll,20170218104517,https://web.archive.org/web/20170218104517id_/http://www.galaxyresearch.com.au/newspoll-september-22-25/
newspoll-september-8-11,newspoll,20170218104526,https://web.archive.org/web/20170218104526id_/http://www.galaxyresearch.com.au/newspoll-september-8-11/
smart-company-5,not-a-poll,20130411051519,https://web.archive.org/web/20130411051519id_/http://www.galaxyresearch.com.au/smart-company-5/
smart-company-6,not-a-poll,20150324092333,https://web.archive.org/web/20150324092333id_/http://www.galaxyresearch.com.au/smart-company-6/
start-up-smart-5,not-a-poll,20150321185401,https://web.archive.org/web/20150321185401id_/http://www.galaxyresearch.com.au/start-up-smart-5/
start-up-smart-6,not-a-poll,20150324092034,https://web.archive.org/web/20150324092034id_/http://www.galaxyresearch.com.au/start-up-smart-6/
startupsmart-5,not-a-poll,20130410170529,https://web.archive.org/web/20130410170529id_/http://www.galaxyresearch.com.au/startupsmart-5/
startupsmart-6,not-a-poll,20150323171944,https://web.archive.org/web/20150323171944id_/http://www.galaxyresearch.com.au/startupsmart-6/
pubpolls.html,pubpolls,20070501012940,https://web.archive.org/web/20070501012940id_/http://www.galaxyresearch.com.au:80/pubpolls.html
pubpolls.html,pubpolls,20070606212234,https://web.archive.org/web/20070606212234id_/http://www.galaxyresearch.com.au:80/pubpolls.html
pubpolls.html,pubpolls,20070830090556,https://web.archive.org/web/20070830090556id_/http://galaxyresearch.com.au/pubpolls.html
pubpolls.html,pubpolls,20080516210613,https://web.archive.org/web/20080516210613id_/http://www.galaxyresearch.com.au/pubpolls.html
pubpolls.html,pubpolls,20080718211841,https://web.archive.org/web/20080718211841id_/http://www.galaxyresearch.com.au/pubpolls.html
qld-poll-12-november-2017,state,20171110012014,https://web.archive.org/web/20171110012014id_/http://www.galaxyresearch.com.au:80/qld-poll-12-november-2017/
qld-poll-23-august-2017,state,20170911212312,https://web.archive.org/web/20170911212312id_/http://www.galaxyresearch.com.au:80/qld-poll-23-august-2017/
queensland-poll-89-february-2017-2,state,20170218104105,https://web.archive.org/web/20170218104105id_/http://www.galaxyresearch.com.au/queensland-poll-89-february-2017-2/
sa-poll-2829-june-2017,state,20171028074514,https://web.archive.org/web/20171028074514id_/http://www.galaxyresearch.com.au:80/sa-poll-2829-june-2017/
victoria-poll-1617-february-2017,state,20170225113639,https://web.archive.org/web/20170225113639id_/http://www.galaxyresearch.com.au/victoria-poll-1617-february-2017/
wa-federal-poll-26-27-july-2017,state,20180314152736,https://web.archive.org/web/20180314152736id_/http://www.galaxyresearch.com.au/wa-federal-poll-26-27-july-2017/
wa-poll-13-march-2017,state,20170310101045,https://web.archive.org/web/20170310101045id_/http://www.galaxyresearch.com.au:80/wa-poll-13-march-2017/
wa-poll-2627-july-2017,state,20180314153039,https://web.archive.org/web/20180314153039id_/http://www.galaxyresearch.com.au/wa-poll-2627-july-2017/
