id,date,masthead,title,page,words,pollster,url
126986870,1993-05-05,The Canberra Times (ACT : 1926 - 1995),FEDERAL POLITICS Nats play down republic split,10,503,AGB McNair,https://trove.nla.gov.au/newspaper/article/126986870
126987379,1993-05-08,The Canberra Times (ACT : 1926 - 1995),POLL WATCH 56pc predict republic by year 2001,2,304,AGB McNair,https://trove.nla.gov.au/newspaper/article/126987379
126988868,1993-05-15,The Canberra Times (ACT : 1926 - 1995),Federal politicians' popularity declines POLL WATCH,2,489,AGB McNair,https://trove.nla.gov.au/newspaper/article/126988868
126990297,1993-05-22,The Canberra Times (ACT : 1926 - 1995),"Keating, Labor slip, but still well in front POLL WATCH",2,305,AGB McNair,https://trove.nla.gov.au/newspaper/article/126990297
126991118,1993-05-26,The Canberra Times (ACT : 1926 - 1995),Coalition refuses to overturn tax cuts,5,742,AGB McNair,https://trove.nla.gov.au/newspaper/article/126991118
127230754,1993-06-05,The Canberra Times (ACT : 1926 - 1995),Hewson recovers a little popularity POLL WATCH,2,300,Morgan,https://trove.nla.gov.au/newspaper/article/127230754
127231079,1993-06-07,The Canberra Times (ACT : 1926 - 1995),Poll finds women did not give Labor its election victory,1,600,Morgan,https://trove.nla.gov.au/newspaper/article/127231079
127232220,1993-06-12,The Canberra Times (ACT : 1926 - 1995),"POLL WATCH Support for ALP down, polls show",2,335,AGB McNair,https://trove.nla.gov.au/newspaper/article/127232220
127232662,1993-06-14,The Canberra Times (ACT : 1926 - 1995),"ALP two points ahead, says poll",2,182,Morgan,https://trove.nla.gov.au/newspaper/article/127232662
127234058,1993-06-21,The Canberra Times (ACT : 1926 - 1995),Strong support for euthanasia: poll,2,173,Morgan,https://trove.nla.gov.au/newspaper/article/127234058
127234063,1993-06-21,The Canberra Times (ACT : 1926 - 1995),Dip in consumer confidence,2,124,Morgan,https://trove.nla.gov.au/newspaper/article/127234063
127234419,1993-06-23,The Canberra Times (ACT : 1926 - 1995),"Support drops for Coalition, Hewson: poll",5,234,AGB McNair,https://trove.nla.gov.au/newspaper/article/127234419
127235955,1993-06-30,The Canberra Times (ACT : 1926 - 1995),Employers polled on enterprise bargains,17,489,AGB McNair,https://trove.nla.gov.au/newspaper/article/127235955
127237180,1993-07-05,The Canberra Times (ACT : 1926 - 1995),Popularity for Kennett fades,2,248,Morgan,https://trove.nla.gov.au/newspaper/article/127237180
127237688,1993-07-07,The Canberra Times (ACT : 1926 - 1995),Optus lags in opinion poll,5,167,AGB McNair,https://trove.nla.gov.au/newspaper/article/127237688
127237630,1993-07-07,The Canberra Times (ACT : 1926 - 1995),Government still ahead in poll,3,162,AGB McNair,https://trove.nla.gov.au/newspaper/article/127237630
127239399,1993-07-14,The Canberra Times (ACT : 1926 - 1995),Long-term tenure for Hewson rated low,3,360,AGB McNair,https://trove.nla.gov.au/newspaper/article/127239399
127241032,1993-07-21,The Canberra Times (ACT : 1926 - 1995),"Fischer will batten down, says Hewson",1,601,AGB McNair,https://trove.nla.gov.au/newspaper/article/127241032
127241780,1993-07-23,The Canberra Times (ACT : 1926 - 1995),Facts are all against smokers,10,376,Morgan,https://trove.nla.gov.au/newspaper/article/127241780
127241903,1993-07-24,The Canberra Times (ACT : 1926 - 1995),Labor notable 'floats' tax on tourism trade,3,526,Saulwick,https://trove.nla.gov.au/newspaper/article/127241903
127242427,1993-07-26,The Canberra Times (ACT : 1926 - 1995),Coalition edges ahead of Government POLL WATCH,4,188,Morgan,https://trove.nla.gov.au/newspaper/article/127242427
127223419,1993-08-02,The Canberra Times (ACT : 1926 - 1995),Packer remains best-known boss,2,259,Morgan,https://trove.nla.gov.au/newspaper/article/127223419
127223632,1993-08-03,The Canberra Times (ACT : 1926 - 1995),Bush's murder appeal rejected Court endorses trial judgment on all grounds,3,945,Saulwick,https://trove.nla.gov.au/newspaper/article/127223632
127223882,1993-08-04,The Canberra Times (ACT : 1926 - 1995),PM's popularity rating slips,5,149,AGB McNair,https://trove.nla.gov.au/newspaper/article/127223882
261366466,1993-08-13,"The Australian Jewish News (Melbourne, Vic. : 1935 - 1999)",Demjanjuk poll,14,191,Gallup,https://trove.nla.gov.au/newspaper/article/261366466
261613587,1993-08-13,"The Australian Jewish News (Sydney, NSW : 1990 - 2008)",Demianjuk poll,10,191,Gallup,https://trove.nla.gov.au/newspaper/article/261613587
127225856,1993-08-13,The Canberra Times (ACT : 1926 - 1995),It serves the voters right!,10,208,Gallup,https://trove.nla.gov.au/newspaper/article/127225856
127227447,1993-08-21,The Canberra Times (ACT : 1926 - 1995),Budget gets worst vote by public in decade,19,157,Saulwick,https://trove.nla.gov.au/newspaper/article/127227447
127227906,1993-08-23,The Canberra Times (ACT : 1926 - 1995),Govt waters down 'no cuts' pledge,1,819,AGB McNair,https://trove.nla.gov.au/newspaper/article/127227906
127244923,1993-09-05,The Canberra Times (ACT : 1926 - 1995),ALP support dives by 10pc in latest poll,3,141,Saulwick,https://trove.nla.gov.au/newspaper/article/127244923
127246902,1993-09-13,The Canberra Times (ACT : 1926 - 1995),Woolworths' sales pitch wins consumer votes,2,247,Morgan,https://trove.nla.gov.au/newspaper/article/127246902
127247225,1993-09-14,The Canberra Times (ACT : 1926 - 1995),Euthanasia excites the passionate minorities,9,1047,Morgan,https://trove.nla.gov.au/newspaper/article/127247225
127247294,1993-09-15,The Canberra Times (ACT : 1926 - 1995),PM continues to lose support,20,191,AGB McNair,https://trove.nla.gov.au/newspaper/article/127247294
