id,date,masthead,title,match,excerpt,url
127232220,1993-06-12,The Canberra Times (ACT : 1926 - 1995),"POLL WATCH Support for ALP down, polls show",AGB McNair,"…(ACT : 1926 - 1995), Saturday 12 June 1993, page 2 POLL WATCH Support for ALP down, polls show The federal Coalition has gained ground on the Government, accord' ing-to the latest AGB McNair poll, published in The Bulletin. Support for the federal Labor party was down two points to 46 per cent in mid-May, while support for the Coalition was steady at 41 per cent. The approval rating of the Prime Minister, Paul Keating, dropped three points to 33 per cent. The rating of the Leader of the Opposition, John Hewson, was steady at 25 per cent. Mr Heating's disapproval rating rose four points to 45 per cent and Dr Hewson's fell two points also to 45 per cent. Mr Keating still le…",https://trove.nla.gov.au/newspaper/article/127232220
127234419,1993-06-23,The Canberra Times (ACT : 1926 - 1995),"Support drops for Coalition, Hewson: poll",AGB McNair,"…the Coalition and the Leader of the Opposition, John Hew son, has dropped and support for the Labor Party and the Prime Minister, Paul Keating, has risen, according to the latest AGB McNair poll. The poll, conducted earlier this month and published in The Bulletin today, shows a one percentage point drop in support for the Coalition and a one point rise in support for Labor since late May, taking the Govern ment to 47 per cent and the Opposi tion to 40 per cent. The increase for the ALP comes despite controversy about Mabo, the republican debate and the Budget. Support for the Democrats has dropped from 4 per cent to 2 per cent and support for independents was up one poi…",https://trove.nla.gov.au/newspaper/article/127234419
127235955,1993-06-30,The Canberra Times (ACT : 1926 - 1995),Employers polled on enterprise bargains,AGB McNair,"…bout enterprise bargaining. With the Minister for Industrial Relations, Laurie Brcreton, scheduled to make some key decisions about enterprise bargaining over the next two months, AGB McNair will canvass the views of 700 employers around Australia. The work is being carried out on behalf of the Research and Policy Development Branch of the department and is expected to be published before the end of the year. In a letter to employers, the department will seek their cooperation in a telephone survey to ""provide a coherent and rigorous body of research to assist in informing debate and policy formulation regarding the nature and future direction of the wage-fixing system in…",https://trove.nla.gov.au/newspaper/article/127235955
127237630,1993-07-07,The Canberra Times (ACT : 1926 - 1995),Government still ahead in poll,AGB McNair,"…a Times (ACT : 1926 - 1995), Wednesday 7 July 1993, page 3 Government still ahead in poll The Federal Government has maintained its lead over the Coalition according to the latest AGB McNair opinion poll in this week's Bulletin magazine. The poll, taken in late June, shows the ALP steady with 47 per cent voter support against the Coalition's 40 per cent. That means no change from the previous poll taken in the middle of last month. But the Opposition Lead John Hewson: gaining. er, John Hewson, has narrowed Prime Minister Paul Keating's lead as preferred Prime Minister. Dr Hewson's stocks rose by three points to 33 per cent and Mr Keating was steady on 45 per cent — 22 per…",https://trove.nla.gov.au/newspaper/article/127237630
127237688,1993-07-07,The Canberra Times (ACT : 1926 - 1995),Optus lags in opinion poll,AGB McNair,"…wing Telecom Australia with a clear lead as favoured supplier of long-distance and international telephone services did not worry its rival, an Optus spokesman said yesterday. The AGB McNair poll published in this week's Bulletin magazine, says 54 per cent of respondents will either definitely (30 per cent) or probably (24 per cent) vote to remain with Telecom in the upcoming consumer ballots. Optus attracts only 17 per cent of preferences, with 8 per cent saying they will definitely choose the new carrier, and 9 per cent saying ""probably"". Canberra telephone subscribers will vote for their preferred long-distance carrier on July 15 followed by Sydney on August 3. Optus s…",https://trove.nla.gov.au/newspaper/article/127237688
127239399,1993-07-14,The Canberra Times (ACT : 1926 - 1995),Long-term tenure for Hewson rated low,AGB McNair,"…agenda ahead of economic dogma when it frames new policies. The message emerged as a main priority during the first full-day meeting of the Opposition policy review committee. The AGB McNair poll to be published in today's Bulletin magazine found 52 per cent of voters believe Dr Hewson will be forced to resign as leader before the election, and a further 15 per cent believe he will resign of his own accord. The telephone poll last weekend of 1509 people also found that even a slim majority of Opposition sup porters — 51 per cent — believe hej will be either forced out of the posi tion or leave of his own volition. | Dr Hewson is seen as a trustworthy and competent leader,…",https://trove.nla.gov.au/newspaper/article/127239399
127241032,1993-07-21,The Canberra Times (ACT : 1926 - 1995),"Fischer will batten down, says Hewson",AGB McNair,"…ection. Dr Hewson has been trying to combat a perception that he is a temporary leader after defeating John Howard in a party room ballot after the election defeat. But the latest AGB McNair poll in today's Bulletin magazine shows Dr Hewson's approval rating down two points to 21 per cent. Dr Hewson called on the media to be responsible by focusing on issues apart from speculation about his leadership. ""John Hewson will survive and I am not distracted by any of that,"" he said. ""Focusing on me day after day is a bit of a blood sport in Canberra but focusing on me isn't going to create one more job.""…",https://trove.nla.gov.au/newspaper/article/127241032
127223882,1993-08-04,The Canberra Times (ACT : 1926 - 1995),PM's popularity rating slips,AGB McNair,"…1926 - 1995), Wednesday 4 August 1993, page 5 PM's popularity rating slips The personal-approval rat-ing by voters of the Prime Min-ister, Paul Keating, has declined in the latest AGB McNair opinion poll, pub-lished in this week's Bulletin. The poll, taken in late July, shows that 27 per cent of voters surveyed approved Mr Keating's performance, com-pared with 31 per cent early in the month. But he still led the Opposi-tion Leader, John Hewson, whose approval rating re- mained steady at 21 per cent. Mr Keating's disapproval rat-ing increased from 46 per cent to 50. Dr Hewson's, too, in-creased from 44 to 48 per cent. On who was the preferred prime minister, Mr Keating sco…",https://trove.nla.gov.au/newspaper/article/127223882
127227906,1993-08-23,The Canberra Times (ACT : 1926 - 1995),Govt waters down 'no cuts' pledge,AGB McNair,"…t did not mean ""we won't make some further cuts in future years to make way for other expenditures that we will have to meet"". In other developments in the row over the Budget: An AGB McNair poll in this week's Bulletin shows that 73 per cent of voters disapprove of last week's Budget (up from 49 per cent in 1992), 63 per cent believe the Opposition and minor parties should combine in the Senate to oppose it. The Opposition Leader in the Senate, Robert Hill, flagged the possibility of a High Court challenge to the Government's omnibus tax legislation on the grounds that it was unconstitutional in imposing more than one tax, and should be split into separate Bills (which t…",https://trove.nla.gov.au/newspaper/article/127227906
127247294,1993-09-15,The Canberra Times (ACT : 1926 - 1995),PM continues to lose support,AGB McNair,"…Budget and Federal Government back-downs resulted in a drop in the popularity of the Prime Minister, Paul Keating, and the Labor Party, according to the latest Bulletin poll. The AGB McNair poll published in the Bulletin found Mr Heating's popularity as preferred prime minister fell five points to 31 per cent. The number of people who preferred the Opposition Leader, John Hewson, as leader rose four points to 38 per cent. That compared to 40 per cent preferring Mr Keating as prime minister in a poll taken in August and 33 per cent for Dr Hewson. Support for the ALP fell three points to 36 per cent. The Coalition figure was unchanged on 46 per cent. Support for the Greens…",https://trove.nla.gov.au/newspaper/article/127247294
