Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Farrer,NSW,LP,62.89,37.11,-3.46,2025,-25.78,3.46
Fenner,ACT,ALP,27.92,72.08,-6.39,2025,44.16,6.39
Fisher,QLD,LNP,56.03,43.97,-2.64,2025,-12.06,2.64
Flinders,VIC,LP,54.78,45.22,-1.38,2025,-9.56,1.38
Flynn,QLD,LNP,60.24,39.76,6.42,2025,-20.48,-6.42
Forde,QLD,ALP,48.23,51.77,-6,2025,3.54,6
Forrest,WA,LP,52.24,47.76,-1.95,2025,-4.48,1.95
Fowler,NSW,ALP,31.81,68.19,-12.29,2025,36.38,12.29
Franklin,TAS,ALP,30.56,69.44,-5.74,2025,38.88,5.74
Fraser,VIC,ALP,27.98,72.02,-5.46,2025,44.04,5.46
Fremantle,WA,ALP,31.32,68.68,-1.75,2025,37.36,1.75
Gellibrand,VIC,ALP,34.9,65.1,-3.9,2025,30.2,3.9
Gilmore,NSW,ALP,44.87,55.13,-4.96,2025,10.26,4.96
Gippsland,VIC,NP,69.36,30.64,-1.21,2025,-38.72,1.21
Goldstein,VIC,LP,53.97,46.03,0.25,2025,-7.94,-0.25
Gorton,VIC,ALP,39.72,60.28,-0.3,2025,20.56,0.3
Grayndler,NSW,ALP,19.82,80.18,-3.55,2025,60.36,3.55
Greenway,NSW,ALP,36.24,63.76,-5.82,2025,27.52,5.82
Grey,SA,LP,54.64,45.36,-5.43,2025,-9.28,5.43
Griffith,QLD,ALP,34.06,65.94,-4.87,2025,31.88,4.87
Groom,QLD,LNP,63.35,36.65,-0.82,2025,-26.7,0.82
Hasluck,WA,ALP,34.03,65.97,-5.93,2025,31.94,5.93
Hawke,VIC,ALP,42.37,57.63,-0.01,2025,15.26,0.01
Herbert,QLD,LNP,63.41,36.59,1.64,2025,-26.82,-1.64
Hindmarsh,SA,ALP,33.65,66.35,-7.4,2025,32.7,7.4
Hinkler,QLD,LNP,56.26,43.74,-3.81,2025,-12.52,3.81
Holt,VIC,ALP,35.97,64.03,-6.92,2025,28.06,6.92
Hotham,VIC,ALP,33.14,66.86,-5.27,2025,33.72,5.27
Hughes,NSW,ALP,46.94,53.06,-6.52,2025,6.12,6.52
Hume,NSW,LP,58.06,41.94,1.19,2025,-16.12,-1.19
Hunter,NSW,ALP,40.52,59.48,-4.7,2025,18.96,4.7
Indi,VIC,LP,56.66,43.34,1.4,2025,-13.32,-1.4
Isaacs,VIC,ALP,35.66,64.34,-4.83,2025,28.68,4.83
Jagajaga,VIC,ALP,37.12,62.88,-0.67,2025,25.76,0.67
Kennedy,QLD,LNP,59.32,40.68,-0.84,2025,-18.64,0.84
Kingsford Smith,NSW,ALP,32.81,67.19,-3.88,2025,34.38,3.88
Kingston,SA,ALP,29.26,70.74,-4.39,2025,41.48,4.39
Kooyong,VIC,LP,52.37,47.63,-1.37,2025,-4.74,1.37
La Trobe,VIC,LP,52.06,47.94,-6.37,2025,-4.12,6.37
Lalor,VIC,ALP,36.79,63.21,-0.42,2025,26.42,0.42
Leichhardt,QLD,ALP,43.94,56.06,-9.5,2025,12.12,9.5
Lilley,QLD,ALP,35.48,64.52,-3.98,2025,29.04,3.98
Lindsay,NSW,LP,52.78,47.22,-3.33,2025,-5.56,3.33
Lingiari,NT,ALP,41.87,58.13,-6.53,2025,16.26,6.53
Longman,QLD,LNP,50.11,49.89,-2.97,2025,-0.22,2.97
Lyne,NSW,NP,59.78,40.22,-4.02,2025,-19.56,4.02
Lyons,TAS,ALP,38.42,61.58,-10.66,2025,23.16,10.66
Macarthur,NSW,ALP,34.39,65.61,-5.85,2025,31.22,5.85
Mackellar,NSW,LP,53.66,46.34,-4.21,2025,-7.32,4.21
Macnamara,VIC,ALP,38.2,61.8,0.37,2025,23.6,-0.37
Macquarie,NSW,ALP,42.29,57.71,-1.38,2025,15.42,1.38
Makin,SA,ALP,35.34,64.66,-3.86,2025,29.32,3.86
Mallee,VIC,NP,69.04,30.96,0.05,2025,-38.08,-0.05
Maranoa,QLD,LNP,73.96,26.04,1.84,2025,-47.92,-1.84
Maribyrnong,VIC,ALP,37.35,62.65,0.38,2025,25.3,-0.38
Mayo,SA,ALP,45.02,54.98,-3.39,2025,9.96,3.39
McEwen,VIC,ALP,45.24,54.76,-0.94,2025,9.52,0.94
McMahon,NSW,ALP,40.98,59.02,1.46,2025,18.04,-1.46
McPherson,QLD,LNP,54.44,45.56,-4.9,2025,-8.88,4.9
Melbourne,VIC,ALP,26.03,73.97,-0.88,2025,47.94,0.88
Menzies,VIC,ALP,48.92,51.08,-0.66,2025,2.16,0.66
Mitchell,NSW,LP,53.81,46.19,-6.68,2025,-7.62,6.68
Monash,VIC,LP,54.09,45.91,1.19,2025,-8.18,-1.19
Moncrieff,QLD,LNP,58.8,41.2,-2.39,2025,-17.6,2.39
Moore,WA,ALP,47.11,52.89,-3.8,2025,5.78,3.8
Moreton,QLD,ALP,33.91,66.09,-7,2025,32.18,7
New England,NSW,NP,67.06,32.94,1.85,2025,-34.12,-1.85
Newcastle,NSW,ALP,29.21,70.79,-2.85,2025,41.58,2.85
Nicholls,VIC,NP,64.38,35.62,-35.62,2025,-28.76,35.62
O'Connor,WA,LP,63.28,36.72,6.59,2025,-26.56,-6.59
Oxley,QLD,ALP,30.81,69.19,-7.6,2025,38.38,7.6
Page,NSW,NP,59.29,40.71,-1.36,2025,-18.58,1.36
Parkes,NSW,NP,62.97,37.03,-5.18,2025,-25.94,5.18
Parramatta,NSW,ALP,37.45,62.55,-8.83,2025,25.1,8.83
Paterson,NSW,ALP,43.11,56.89,-4.29,2025,13.78,4.29
Pearce,WA,ALP,43.56,56.44,2.4,2025,12.88,-2.4
Perth,WA,ALP,33.49,66.51,-2.09,2025,33.02,2.09
Petrie,QLD,ALP,48.83,51.17,-5.61,2025,2.34,5.61
Rankin,QLD,ALP,34.45,65.55,-6.46,2025,31.1,6.46
Reid,NSW,ALP,37.99,62.01,-6.82,2025,24.02,6.82
Richmond,NSW,ALP,40,60,-1.77,2025,20,1.77
Riverina,NSW,NP,62.62,37.38,2.91,2025,-25.24,-2.91
Robertson,NSW,ALP,40.63,59.37,-7.14,2025,18.74,7.14
Ryan,QLD,ALP,42.18,57.82,-5.4,2025,15.64,5.4
Scullin,VIC,ALP,35.71,64.29,1.14,2025,28.58,-1.14
Shortland,NSW,ALP,38.49,61.51,-5.51,2025,23.02,5.51
Solomon,NT,ALP,48.69,51.31,7.09,2025,2.62,-7.09
Spence,SA,ALP,34.66,65.34,-2.44,2025,30.68,2.44
Sturt,SA,ALP,43.38,56.62,-7.07,2025,13.24,7.07
Swan,WA,ALP,36.01,63.99,-4.56,2025,27.98,4.56
Sydney,NSW,ALP,21.92,78.08,-2.42,2025,56.16,2.42
Tangney,WA,ALP,43.01,56.99,-4.14,2025,13.98,4.14
Wannon,VIC,LP,60.92,39.08,2.27,2025,-21.84,-2.27
Warringah,NSW,ALP,45.49,54.51,-5.25,2025,9.02,5.25
Watson,NSW,ALP,27.14,72.86,-7.7,2025,45.72,7.7
Wentworth,NSW,ALP,49.44,50.56,-1.72,2025,1.12,1.72
Werriwa,NSW,ALP,43.23,56.77,-1.43,2025,13.54,1.43
Whitlam,NSW,ALP,43.75,56.25,2.06,2025,12.5,-2.06
Wide Bay,QLD,LNP,57.63,42.37,-3.71,2025,-15.26,3.71
Wills,VIC,ALP,19.14,80.86,-3.77,2025,61.72,3.77
Wright,QLD,LNP,57.98,42.02,-2.91,2025,-15.96,2.91
