Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Fenner (fmr Fraser),ACT,ALP,34.93,65.07,-1.75,2007,15.07,1.75
Fremantle,WA,ALP,40.86,59.14,-1.38,2007,9.14,1.38
Gellibrand,VIC,ALP,28.54,71.46,-6.51,2007,21.46,6.51
Gilmore,NSW,LP,54.07,45.93,-5.34,2007,-4.07,5.34
Gippsland,VIC,NP,55.91,44.09,-1.79,2007,-5.91,1.79
Goldstein,VIC,LP,56.05,43.95,-3.98,2007,-6.05,3.98
Gorton,VIC,ALP,28.78,71.22,-6.32,2007,21.22,6.32
Grayndler,NSW,ALP,25.07,74.93,-3.74,2007,24.93,3.74
Greenway,NSW,LP,54.5,45.5,-6.85,2007,-4.5,6.85
Grey,SA,LP,54.43,45.57,-9.39,2007,-4.43,9.39
Griffith,QLD,ALP,37.68,62.32,-3.84,2007,12.32,3.84
Groom,QLD,LP,58.22,41.78,-10.59,2007,-8.22,10.59
Hasluck,WA,ALP,48.74,51.26,-3.08,2007,1.26,3.08
Herbert,QLD,LP,50.21,49.79,-6.03,2007,-0.21,6.03
Higgins,VIC,LP,57.04,42.96,-1.72,2007,-7.04,1.72
Hindmarsh,SA,ALP,44.95,55.05,-4.99,2007,5.05,4.99
Hinkler,QLD,NP,51.69,48.31,-6.65,2007,-1.69,6.65
Holt,VIC,ALP,38.37,61.63,-10.12,2007,11.63,10.12
Hotham,VIC,ALP,37,63,-5.6,2007,13,5.6
Hughes,NSW,LP,52.16,47.84,-6.39,2007,-2.16,6.39
Hume,NSW,LP,54.16,45.84,-8.68,2007,-4.16,8.68
Hunter,NSW,ALP,34.08,65.92,-4.83,2007,15.92,4.83
Indi,VIC,LP,59.19,40.81,-7.1,2007,-9.19,7.1
Isaacs,VIC,ALP,42.31,57.69,-6.21,2007,7.69,6.21
Jagajaga,VIC,ALP,41.02,58.98,-4.58,2007,8.98,4.58
Kalgoorlie,WA,LP,52.58,47.42,-3.72,2007,-2.58,3.72
Kennedy,QLD,NP,57.51,42.49,-1.35,2007,-7.51,1.35
Kingsford Smith,NSW,ALP,36.71,63.29,-4.56,2007,13.29,4.56
Kingston,SA,ALP,45.58,54.42,-4.49,2007,4.42,4.49
Kooyong,VIC,LP,59.53,40.47,-0.05,2007,-9.53,0.05
La Trobe,VIC,LP,50.51,49.49,-5.32,2007,-0.51,5.32
Lalor,VIC,ALP,34.47,65.53,-6.74,2007,15.53,6.74
Leichhardt,QLD,ALP,45.97,54.03,-14.29,2007,4.03,14.29
