May 28 	36.0	30.0	3.0	33.5	30.5	12.0	9.5	4.0	6.0
May 21 	35.0	30.0	3.5	33.5	31.5	13.0	9.5	4.0	7.5
May 14 	37.5	30.0	3.5	33.5	30.0	13.0	8.5	4.0	6.0
May 7 	35.5	31.5	4.0	35.5	29.5	12.5	9.0	3.0	6.0
April 30 	36.0	31.5	4.0	35.5	29.0	13.0	7.0	3.0	10.0
April 23 	35.5	29.5	4.0	33.5	31.0	13.5	9.5	3.0	10.0
April 16 	37.0	29.0	4.0	33.0	30.0	12.0	8.5	4.5	7.5
April 9 	36.5	29.0	4.5	33.5	30.0	12.5	9.0	2.0	8.0
April 2 	34.5	31.0	3.5	34.5	31.0	13.0	8.5	4.5	7.0
March 26 	35.5	29.0	3.0	32.0	32.5	13.0	9.0	4.5	8.5
March 19 	37.5	28.0	4.0	32.0	30.5	13.0	8.5	3.5	8.0
March 12 	37.0	30.0	4.0	34.0	29.0	12.5	6.5	5.0	7.5
March 5 	38.0	29.5	4.0	33.5	28.5	11.5	8.5	3.0	7.0
February 26 	37.0	30.5	4.0	34.5	28.5	13.0	8.5	2.5	7.5
February 19 	36.5	29.5	3.5	33.0	30.0	13.0	8.0	3.5	7.5
February 12 	37.0	30.0	3.5	33.5	29.5	12.5	8.0	4.0	8.0
