,ALP,L-NP,Liberal,National,Greens,Family First,Dems,One Nation,Other
"April 11-14, 2013 (Multi-mode)",32.0,47.5,44.5,3.0,10.5,< 0.5,< 0.5,< 0.5,10.0
"April 4-7, 2013 (Multi-mode)",31.0,46.5,43.0,3.5,10.0,< 0.5,< 0.5,< 0.5,12.5
"March 29 - April 1, 2013 (Multi-mode)",30.0,49.0,45.5,3.5,11.0,< 0.5,< 0.5,< 0.5,10.0
"March 21-24, 2013 (Multi-mode)",30.5,46.5,43.0,3.5,10.5,< 0.5,< 0.5,< 0.5,12.5
"March 14-17, 2013 (Multi-mode)",33.0,46.0,43.5,2.5,10.5,< 0.5,< 0.5,< 0.5,10.5
"March 7-10, 2013 (Multi-mode)",31.5,47.0,44.0,3.0,11.0,< 0.5,< 0.5,< 0.5,10.5
"February 28 - March 3, 2013 (Multi-mode)",33.0,45.0,42.0,3.0,10.5,< 0.5,< 0.5,< 0.5,11.5
"February 16/17 & 23/24, 2013 (Face)",33.5,44.0,42.0,2.0,10.0,< 0.5,< 0.5,< 0.5,12.5
"February 9/10, 2013 (Face)",33.5,45.0,42.5,2.5,9.0,< 0.5,< 0.5,< 0.5,12.5
"February 2/3, 2013 (Face)",38.5,42.5,39.0,3.5,8.5,< 0.5,< 0.5,< 0.5,10.5
"January 19/20 & 26/27, 2013 (Face)",36.0,39.0,37.0,2.0,12.0,< 0.5,< 0.5,< 0.5,13.0
"January 5/6 & 12/13, 2013 (Face)",36.5,41.5,39.5,2.0,10.5,< 0.5,< 0.5,< 0.5,11.5
"December 8/9 & 15/16, 2012 (Face)",40.0,37.5,35.0,2.5,12.0,< 0.5,< 0.5,< 0.5,10.5
"November 24/25 & December 1/2, 2012 (Face)",36.0,40.5,38.0,2.5,10.5,< 0.5,< 0.5,< 0.5,13.0
"November 27-29, 2012 (Phone)",36.5,44.5,43.0,1.5,8.5,< 0.5,< 0.5,< 0.5,10.5
"November 10/11 & 17/18, 2012 (Face)",36.5,38.5,35.5,3.0,11.5,< 0.5,< 0.5,< 0.5,13.5
"October 27/28 & November 3/4, 2012 (Face)",35.5,43.0,40.5,2.5,10.0,< 0.5,< 0.5,< 0.5,11.5
"October 13/14 & 20/21, 2012 (Face)",37.5,38.5,36.5,2.0,12.5,< 0.5,< 0.5,< 0.5,11.5
"September 29/30 & October 6/7, 2012 (Face)",37.0,43.0,40.0,3.0,10.5,< 0.5,< 0.5,< 0.5,9.5
"September 22/23, 2012 (Face)",37.5,41.5,38.0,3.5,10.0,< 0.5,< 0.5,< 0.5,11.0
"September 17-20, 2012 (Phone)",39.5,47.0,44.5,2.5,8.0,< 0.5,< 0.5,< 0.5,5.5
"September 8/9 & 15/16, 2012 (Face)",35.0,40.5,37.5,3.0,12.0,< 0.5,< 0.5,< 0.5,12.5
"September 1/2, 2012 (Face)",34.5,41.5,39.5,2.0,11.5,< 0.5,< 0.5,< 0.5,12.5
"August 11/12 & 18/19, 2012 (Face)",34.5,44.0,42.0,2.0,10.0,< 0.5,< 0.5,< 0.5,11.5
"July 28/29 & August 4/5, 2012 (Face)",32.0,43.5,41.5,2.0,11.5,< 0.5,< 0.5,< 0.5,13.0
"July 14/15 & 21/22, 2012 (Face)",31.5,43.0,41.5,1.5,12.0,< 0.5,< 0.5,< 0.5,13.5
"June 30/ July 1 & 7/8, 2012 (Face)",29.5,43.0,41.0,2.0,14.5,< 0.5,< 0.5,< 0.5,13.0
"June 16/17 & 23/24, 2012 (Face)",32.5,45.5,42.5,3.0,10.0,< 0.5,< 0.5,< 0.5,12.0
"June 9/10, 2012 (Face)",33.0,42.5,39.5,3.0,12.5,< 0.5,< 0.5,< 0.5,12.0
"June 2/3, 2012 (Face)",32.5,45.0,43.5,1.5,10.5,< 0.5,< 0.5,< 0.5,12.0
"May 26/27, 2012 (Face)",27.5,49.0,47.0,2.0,13.0,< 0.5,< 0.5,< 0.5,10.5
"May 19/20, 2012 (Face)",32.0,45.5,44.0,1.5,10.5,< 0.5,< 0.5,< 0.5,12.0
"May 12/13, 2012 (Face)",30.5,46.0,43.5,2.5,12.0,< 0.5,< 0.5,< 0.5,11.5
"May 9/10, 2012 (Phone)",29.0,50.5,48.5,2.0,10.0,< 0.5,< 0.5,< 0.5,10.5
"May 5/6, 2012 (Face)",29.5,45.5,43.0,2.5,12.0,< 0.5,< 0.5,< 0.5,13.0
"April 21/22, 2012 (Face)",30.0,47.5,45.5,2.0,12.0,< 0.5,< 0.5,< 0.5,10.5
"April 17-19, 2012 (Phone)",30.0,47.5,46.5,1.0,11.5,< 0.5,< 0.5,< 0.5,11.0
"April 7/8 & 14/15, 2012 (Face)",31.0,46.5,44.0,2.5,12.5,< 0.5,< 0.5,< 0.5,10.0
"March 31/ April 1, 2012 (Face)",32.0,44.5,41.5,3.0,13.0,< 0.5,< 0.5,< 0.5,10.5
"March 24/25, 2012 (Face)",36.5,45.0,40.5,4.5,12.5,< 0.5,< 0.5,< 0.5,6.0
"March 10/11 & 17/18, 2012 (Face)",37.0,45.5,41.5,4.0,10.5,< 0.5,< 0.5,< 0.5,7.0
