,ALP,L-NP,Liberal,National,Greens,Family First,Dems,One Nation,Other
October 5/6,39.5,43.5,41.5,2.0,10.0,N/A,4.0,1.0,4.0
September 14/15 & 21/22,39.0,44.5,41.5,3.0,9.5,N/A,3.5,1.5,5.0
August 31/September 1 & 7/8,41.0,43.5,40.5,3.0,9.0,N/A,2.0,2.0,5.5
August 17/18 & 24/25,42.0,42.0,40.0,2.0,8.0,N/A,3.0,1.5,5.5
August 3/4 & 10/11,41.5,43.5,40.5,3.0,7.0,N/A,4.0,2.0,5.0
July 20/21 & 27/28,39.5,46.5,43.0,3.5,6.5,N/A,3.5,2.0,5.5
July 6/7 & 13/14,42.0,42.5,40.0,2.5,6.0,N/A,5.0,2.0,5.0
June 23/24,39.0,45.5,43.0,2.5,7.0,N/A,6.0,2.5,2.5
June 8/9 & 15/16,40.0,45.5,42.5,3.0,6.5,N/A,5.0,2.0,4.0
May 25/26 & June 1/2,41.5,42.0,39.0,3.0,7.0,N/A,6.0,2.0,4.5
May 11/12 & 18/19,41.0,41.0,38.5,2.5,6.5,N/A,7.0,2.5,4.5
April 27/28 & May 4/5,40.5,42.0,39.5,2.5,6.5,N/A,5.5,3.0,5.0
April 13/14 & 20/21,39.5,45.0,42.5,2.5,6.5,N/A,5.0,2.0,4.5
April 6/7,41.5,43.5,41.0,2.5,6.5,N/A,4.5,2.0,4.5
March 16/17 & 23/24,41.0,41.5,39.5,2.0,7.0,N/A,5.0,2.5,5.0
March 2/3 & 9/10,40.0,45.5,42.5,3.0,6.5,N/A,4.0,2.0,5.0
February 16/17 & 23/24,38.5,44.5,43.0,1.5,6.0,N/A,4.5,2.5,5.5
February 2/3 & 9/10,36.5,47.5,44.5,3.0,7.0,N/A,6.0,2.0,4.0
January 19/20 & 26/27,39.5,43.0,40.5,2.5,6.0,N/A,7.5,2.5,4.0
January 5/6 & 12/13,39.5,46.0,43.5,2.5,6.5,N/A,5.5,2.0,3.0
"Federal Election - November 10, 2001",37.8,43.0,37.4,5.6,5.0,N/A,5.4,4.3,4.5
November 3/4,43.5,42.5,38.5,4.0,4.5,N/A,6.5,2.5,4.5
October 27/28,42.0,43.5,40.5,3.0,4.5,N/A,6.0,4.0,3.0
October 20/21,41.0,43.5,41.5,2.0,3.5,N/A,7.0,3.0,4.0
October 13/14,35.0,49.5,47.0,2.5,4.5,N/A,7.0,2.5,3.5
September 29/30 & October 6/7,39.5,45.5,43.0,2.5,4.0,N/A,5.5,4.0,4.0
September 22/23,41.5,43.5,41.5,2.0,4.5,N/A,5.5,3.5,3.5
September 15/16,41.0,42.5,41.0,1.5,4.5,N/A,6.0,4.0,3.5
September 8/9,40.5,38.5,36.5,2.0,7.0,N/A,7.0,3.5,5.5
September 1/2,39.0,42.0,39.5,2.5,5.5,N/A,6.5,4.0,5.5
August 18/19 & 25/26,43.5,37.5,34.5,3.0,5.0,N/A,7.5,4.5,5.0
August 4/5 & 11/12,41.0,38.0,35.0,3.0,5.0,N/A,8.5,5.5,5.0
July 21/22 & 28/29,42.0,37.5,35.5,2.0,4.0,N/A,9.0,5.0,4.5
July 7/8 & 14/15,43.0,37.0,35.0,2.0,4.5,N/A,7.5,5.0,5.0
June 23/24 & 30/July 1,44.5,39.5,36.0,3.5,4.5,N/A,6.5,4.5,4.0
June 9/10 & 16/17,44.5,37.5,34.5,3.0,5.5,N/A,6.5,4.0,5.0
June 2/3,45.5,33.0,30.5,2.5,4.0,N/A,8.0,6.0,6.0
May 26/27,44.0,35.5,33.0,2.5,4.5,N/A,8.5,3.5,6.5
May 12/13 & 19/20,46.5,33.5,30.5,3.0,4.5,N/A,8.0,5.5,5.0
April 28/29 & May 5/6,43.5,34.5,31.5,3.0,4.5,N/A,9.0,6.0,5.5
April 14/15 & 21/22,44.5,34.5,32.0,2.5,4.0,N/A,10.0,5.5,4.0
March 31/April 1 & 7/8,44.5,34.0,31.0,3.0,5.0,N/A,6.5,7.0,6.0
March 17/18 & 24/25,47.5,34.5,32.0,2.5,3.5,N/A,5.0,7.5,4.5
March 3/4 & 10/11,46.5,32.5,29.5,3.0,4.5,N/A,5.5,7.0,7.0
February 17/18 & 24/25,48.5,33.0,30.0,3.0,4.5,N/A,5.0,7.5,4.5
February 3/4 & 10/11,43.5,39.5,35.5,4.0,3.5,N/A,6.0,5.5,6.0
January 20/21 & 27/28,42.5,43.0,39.5,3.5,5.0,N/A,5.5,3.0,4.5
January 6/7 & 13/14,47.5,39.5,36.0,3.5,3.5,N/A,5.5,3.0,4.5
December 9/10 & 16/17,45.0,40.5,37.5,3.0,3.0,N/A,4.5,3.5,6.5
November 25/26 & December 2/3,44.0,41.0,38.0,3.0,3.5,N/A,6.5,3.5,4.5
September 16/17 & 23/24,44.0,42.0,38.5,3.5,3.5,N/A,6.5,3.0,4.5
October 14/15 & 21/22,44.5,39.5,36.0,3.5,3.0,N/A,6.0,3.0,7.5
November 11/12 & 18/19,44.5,40.5,37.0,3.5,3.5,N/A,6.5,3.0,5.5
Sept 30/October 1 & 7/8,46.5,40.5,37.0,3.5,2.0,N/A,5.0,3.0,6.5
October 28/29 & November 4/5,45.5,38.0,35.0,3.0,4.5,N/A,5.5,4.0,5.5
September 2/3 & 9/10,46.5,40.0,36.5,3.5,3.5,N/A,4.0,3.5,6.0
August 19/20 & 26/27,43.0,40.0,37.0,3.0,3.5,N/A,6.0,5.0,5.5
August 5/6 & 12/13,41.5,45.0,41.5,3.5,3.5,N/A,5.0,3.5,5.0
July 22/23 & 29/30,45.0,42.0,37.5,4.5,3.0,N/A,5.5,3.5,5.5
July 15/16,43.0,44.5,40.0,4.5,4.5,N/A,4.5,3.0,5.0
July 8/9,45.0,39.5,36.5,3.0,3.5,N/A,5.5,3.5,6.0
June 24/25 & July 1/2,45.0,36.5,33.0,3.5,4.0,N/A,6.0,4.5,7.5
June 10/11 & 17/18,48.5,37.0,33.5,3.5,3.0,N/A,5.5,4.5,5.0
May 27/28 & June 3/4,46.5,37.5,34.5,3.0,4.0,N/A,5.5,4.0,5.5
May 13/14 & 20/21,45.5,38.0,35.0,3.0,4.0,N/A,5.5,4.5,5.5
April 29/30 & May 6/7,46.0,38.5,35.0,3.5,3.5,N/A,6.0,4.5,5.0
April 15/16 & 22/23,45.0,40.0,36.5,3.5,3.5,N/A,5.0,4.5,5.5
April 1/2 & 8/9,46.0,39.0,36.0,3.0,3.5,N/A,6.5,3.0,5.0
March 18/19 & 25/26,43.0,41.0,37.5,3.5,3.5,N/A,5.5,4.0,6.5
March 4/5 & 11/12,46.0,41.5,37.0,4.5,3.5,N/A,5.5,2.5,5.5
February 26/27,45.0,43.0,38.0,5.0,3.5,N/A,5.0,3.0,5.5
February 19/20,46.5,40.0,36.5,3.5,3.0,N/A,5.0,3.5,5.5
February 5/6 & 12/13,46.0,39.5,36.0,3.5,3.5,N/A,5.5,3.5,5.5
January 22/23 & 29/30,47.0,41.5,37.5,4.0,3.0,N/A,5.5,3.5,3.5
January 8/9 & 15/16,46.0,42.0,38.0,4.0,3.0,N/A,5.5,3.5,4.0
December 11/12 & 18/19,44.5,41.0,37.5,3.5,4.0,N/A,6.0,4.0,4.0
November 27/28 & December 4/5,44.0,44.5,41.5,3.0,2.5,N/A,5.5,3.0,3.5
November 13/14 & 20/21,42.5,43.0,39.5,3.5,2.5,N/A,6.5,4.5,4.5
October 16/17 & 23/24,42.0,43.0,40.0,3.0,3.5,N/A,5.0,3.5,6.0
October 2/3 & 9/10,41.5,43.0,39.5,3.5,3.0,N/A,7.5,4.0,4.5
October 30/31 & November 6/7,42.0,44.0,40.5,3.5,2.5,N/A,6.5,3.5,5.0
September 18/19 & 25/26,41.0,43.0,39.5,3.5,4.0,N/A,6.5,4.5,4.5
September 4/5 & 11/12,41.0,44.0,40.0,4.0,2.5,N/A,7.0,4.0,5.5
August 21/22 & 28/29,44.5,44.0,40.0,4.0,2.5,N/A,6.5,4.0,2.5
July 31/Aug 1 to August 21/22,42.0,48.0,46.0,2.0,1.5,N/A,4.0,1.0,5.5
August 7/8 & 14/15,40.5,46.5,42.0,4.5,3.5,N/A,7.5,4.0,2.5
July 24/25 & 31/August 1,43.0,44.0,40.0,4.0,3.0,N/A,7.0,4.5,2.5
July 10/11 & 17/18,41.0,45.5,41.0,4.5,4.0,N/A,6.5,5.0,2.5
June 26/27 & July 3/4,43.0,47.0,40.5,6.5,4.5,N/A,6.5,3.5,2.0
June 12/13 & 19/20,44.5,42.0,38.5,3.5,3.0,N/A,6.5,4.5,3.0
May 29/30 & June 5/6,42.0,44.5,40.0,4.5,3.5,N/A,7.0,4.5,3.0
May 15/16 & 22/23,43.5,41.5,37.5,4.0,3.5,N/A,7.5,4.5,3.5
May 1/2 & 8/9,45.5,41.5,37.5,4.0,2.5,N/A,7.0,5.0,2.5
April 17/18 & 24/25,45.0,42.5,38.0,4.5,3.0,N/A,5.5,5.5,3.0
April 3/4 & 10/11,43.0,42.5,38.0,4.5,3.0,N/A,7.5,6.0,2.5
March 20/21 & 27/28,43.5,44.0,39.5,4.5,2.0,N/A,7.5,4.5,3.0
March 6/7 & 13/14,43.5,42.5,37.5,5.0,3.5,N/A,6.5,5.0,4.0
February 20/21 & 27/28,41.0,46.5,42.0,4.5,3.0,N/A,7.0,4.5,2.5
February 6/7 & 13/14,42.0,46.0,42.0,4.0,3.0,N/A,7.5,3.0,2.5
January 23/24 & 30/31,43.5,44.5,40.0,4.5,2.5,N/A,6.0,5.5,2.5
January 9/10 & 16/17,43.5,44.0,39.5,4.5,2.0,N/A,7.5,5.0,2.5
December 5/6 & 12/13,41.5,45.5,41.0,4.5,3.5,N/A,6.5,6.0,1.5
November 21/22 & 28/29,44.5,42.0,38.0,4.0,2.0,N/A,7.0,5.5,3.0
November 7/8 & 14/15,42.5,45.0,41.0,4.0,2.5,N/A,6.5,5.0,2.5
October 24/25 & October 31/November 1,43.5,42.0,38.0,4.0,2.5,N/A,7.5,6.0,2.5
October 10/11 & 17/18,41.0,45.5,40.5,5.0,2.5,N/A,9.0,5.5,1.5
"Federal Election - October 3, 1998 1",40.1,44.8,39.5,5.3,2.2,N/A,5.1,8.4,4.7
September 23/24#,39.0,47.0,43.0,4.0,3.0,N/A,6.0,6.0,3.0
September 19/20,46.5,42.0,37.5,4.5,2.5,N/A,4.5,7.0,2.0
September 12/13,44.5,41.5,38.5,3.0,1.5,N/A,4.0,8.5,3.0
September 5/6,43.0,40.5,37.5,3.0,3.0,N/A,3.5,9.5,3.5
August 29/30,42.0,39.0,37.0,2.0,3.0,N/A,4.5,9.0,4.5
August 22/23,43.0,40.0,35.5,4.5,2.5,N/A,4.5,11.0,3.5
August 15/16,43.5,41.0,37.0,4.0,2.0,N/A,4.0,10.0,3.5
August 1/2 & 8/9,44.0,33.0,30.5,2.5,2.0,N/A,5.0,13.5,5.0
July 18/19 & 25/26,41.0,33.0,33.0,N/A,2.5,N/A,4.5,14.0,5.0
July 4/5 & 11/12***,42.5,32.0,32.0,N/A,2.5,N/A,4.5,14.5,4.0
June 24/25 & July 1/2,42.0,35.0,35.0,N/A,2.0,N/A,4.0,12.0,5.0
June 17/18,39.5,35.0,35.0,N/A,2.5,N/A,5.0,14.5,3.5
June 3/4 & 10/11,40.5,39.5,39.5,N/A,2.5,N/A,5.0,9.5,3.0
May 20/21 & 27/28,43.5,39.5,39.5,N/A,3.0,N/A,4.5,6.0,3.5
May 6/7 & 13/14,42.0,42.0,42.0,N/A,2.5,N/A,5.5,4.0,4.0
April 29/30,41.5,41.0,41.0,N/A,3.0,N/A,5.0,6.0,3.5
April 22/23,42.0,38.5,38.5,N/A,3.5,N/A,5.5,6.5,4.0
April 15/16,36.0,43.0,43.0,N/A,3.5,N/A,7.5,4.5,5.5
April 1/2 & 8/9,40.0,41.5,41.5,N/A,2.5,N/A,5.5,6.0,4.5
March 18/19 & 25/26,40.0,42.0,42.0,N/A,3.0,N/A,4.5,5.0,5.5
March 4/5 & 11/12,41.5,41.5,41.5,N/A,2.0,N/A,5.0,4.5,5.5
February 18/19 & 25/26,44.5,40.5,40.5,N/A,2.0,N/A,4.5,4.5,4.0
February 4/5 & 11/12,43.0,39.5,39.5,N/A,2.0,N/A,6.0,5.5,4.0
January 21/22 & 28/29,44.5,39.5,39.5,N/A,2.5,N/A,5.0,5.5,3.0
January 7/8 & 14/15,41.5,41.5,41.5,N/A,3.0,N/A,5.0,5.5,3.5
December 3/4 & 10/11,41.0,43.0,43.0,N/A,2.5,N/A,5.5,5.0,3.0
November 19/20 & 26/27 (ALP high),46.0,37.5,37.5,N/A,2.5,N/A,6.0,4.5,3.5
November 5/6 & 12/13,43.5,38.5,38.5,N/A,2.5,N/A,6.0,4.5,5.0
October 22/23 & 29/30,43.5,38.5,38.5,N/A,2.0,N/A,6.0,6.0,4.0
October 15/16,42.5,38.0,38.0,N/A,1.5,N/A,6.5,6.0,5.5
October 1/2 & 8/9,32.0,46.5,46.5,N/A,2.0,N/A,8.5,7.5,3.5
September 24/25,40.0,41.5,41.5,N/A,2.0,N/A,6.0,8.0,2.5
September 17/18,37.0,41.0,41.0,N/A,3.5,N/A,6.5,8.0,4.0
September 3/4 & 10/11,36.0,41.5,41.5,N/A,2.0,N/A,7.5,8.5,4.5
August 20/21 & 27/28,36.5,40.5,40.5,N/A,3.0,N/A,7.0,8.0,5.0
August 13/14 & 16,33.0,43.0,43.0,N/A,3.0,N/A,7.5,8.0,5.5
August 6/7(L-NP low),40.5,35.0,35.0,N/A,1.5,N/A,9.0,10.0,4.0
July 23/24 & 30/31,36.0,40.5,40.5,N/A,3.5,N/A,8.0,8.0,4.0
July 9/10 & 16/17,35.5,42.0,42.0,N/A,3.5,N/A,6.5,8.0,4.5
June 25/26 & July 2/3,34.0,40.5,40.5,N/A,3.0,N/A,7.5,10.0,5.0
June 11/12 & 18/19,34.0,42.0,42.0,N/A,2.5,N/A,6.5,11.0,4.0
May 28/29 & June 4/5,34.0,41.5,41.5,N/A,3.0,N/A,8.5,9.0,4.0
May 21/22,32.5,41.5,41.5,N/A,2.5,N/A,6.0,12.0,5.5
May 11 & 14/15,35.5,38.5,38.5,N/A,2.5,N/A,6.0,12.5,5.0
April 30/May 1 & 7/8 (ALP low),30.0,42.0,42.0,N/A,2.5,N/A,6.0,13.5,6.0
April 16/17 & 22/23,34.5,40.0,40.0,N/A,3.0,N/A,7.5,10.0,5.0
April 2/3 & 9/10,35.5,48.0,48.0,N/A,3.0,N/A,7.0,N/A,6.5
March 25/26,35.0,43.5,43.5,N/A,4.0,N/A,10.0,N/A,7.5
March 19/20,35.5,49.5,49.5,N/A,1.5,N/A,6.5,N/A,7.0
March 5/6 & 12/13,34.5,50.0,50.0,N/A,2.0,N/A,7.5,N/A,6.0
February 19/20 & 26/27,36.0,47.0,47.0,N/A,2.5,N/A,7.5,N/A,7.0
February 5/6 & 12/13,36.0,46.0,46.0,N/A,4.0,N/A,7.0,N/A,7.0
January 22/23 & 29/30,32.5,49.0,49.0,N/A,3.0,N/A,10.5,N/A,5.0
January 8/9 & 15/16,34.5,49.5,49.5,N/A,2.0,N/A,6.5,N/A,7.5
December 11/12 & 18/19,36.5,48.0,48.0,N/A,2.0,N/A,7.5,N/A,6.0
November 28/29 & December 4/5,35.0,48.0,48.0,N/A,2.5,N/A,8.0,N/A,6.5
November 13/14 & 20/21,35.0,48.0,48.0,N/A,2.5,N/A,8.5,N/A,6.0
October 30/31& November 6/7,34.0,49.0,49.0,N/A,3.0,N/A,8.0,N/A,6.0
October 23/24,33.0,49.5,49.5,N/A,2.5,N/A,7.0,N/A,8.0
October 2/3 & 9/10,34.0,49.0,49.0,N/A,3.5,N/A,9.0,N/A,4.5
September 18/19 & 25/26,35.0,50.0,50.0,N/A,2.5,N/A,7.5,N/A,5.0
September 4/5 & 11/12,37.5,46.0,46.0,N/A,3.0,N/A,9.5,N/A,4.0
August 22 & 28/29,33.5,49.5,49.5,N/A,3.5,N/A,9.0,N/A,4.5
August 7/8 & 14/15,34.0,50.0,50.0,N/A,3.5,N/A,8.0,N/A,4.5
July 24/25 & July 31/August 1,33.5,51.0,51.0,N/A,3.5,N/A,7.5,N/A,4.5
July 10/11 & 17/18,34.0,51.0,51.0,N/A,2.5,N/A,7.5,N/A,5.0
June 29 & July 3/4,34.0,50.5,50.5,N/A,3.0,N/A,7.5,N/A,5.0
June 22,38.0,50.5,50.5,N/A,1.5,N/A,6.5,N/A,3.5
June 1**,34.5,50.0,50.0,N/A,2.5,N/A,9.5,N/A,3.5
May 11/18*,35.5,49.5,49.5,N/A,3.5,N/A,7.5,N/A,4.0
April 27/28-May 4/5 (L-NP high)*,33.5,51.5,51.5,N/A,3.5,N/A,8.5,N/A,3.0
April 13/20*,38.0,48.0,48.0,N/A,3.5,N/A,7.5,N/A,3.0
March 30/April 6*,37.0,49.5,49.5,N/A,3.5,N/A,7.5,N/A,2.5
March 16/23,36.5,49.5,49.5,N/A,3.0,0.0,7.5,N/A,3.5
"Federal Election - March 2, 1996",38.8,47.3,38.7,8.6,2.9,N/A,6.8,N/A,4.2
"Federal Election - March 13, 1993",44.9,44.3,37.1,7.2,1.9,N/A,3.8,N/A,5.1
"Federal Election - March 24, 1990",39.4,43.4,35.0,8.4,< 0.5,N/A,11.3,N/A,5.9
"Federal Election - July 11, 1987",45.8,45.9,34.4,11.5,N/A,N/A,6.0,N/A,2.3
"Federal Election - December 1, 1984",47.6,44.7,34.1,10.6,N/A,N/A,5.5,N/A,2.2
"Federal Election - March 5, 1983",49.5,43.6,34.4,9.2,N/A,N/A,5.0,N/A,1.9
"Federal Election - October 18, 1980",45.2,46.4,37.4,9.0,N/A,N/A,6.6,N/A,1.8
"Federal Election - December 10, 1977",39.7,48.1,38.1,10.0,N/A,N/A,9.4,N/A,2.8
"Federal Election - December 13, 1975",42.8,53.1,41.8,11.3,N/A,N/A,< 0.5,N/A,4.1
"Federal Election - May 18, 1974",49.3,45.0,35.0,10.0,N/A,N/A,2.3,N/A,3.4
"Federal Election - December 2, 1972",49.6,41.4,32.0,9.4,N/A,N/A,2.4,N/A,6.6
"Federal Election - October 25, 1969",47.0,43.4,34.8,8.6,N/A,N/A,0.9,N/A,8.7
"Federal Election - November 26, 1966",40.0,49.9,40.1,9.8,N/A,N/A,N/A,N/A,10.1
"Federal Election - November 30, 1963",45.5,46.0,37.1,8.9,N/A,N/A,N/A,N/A,8.5
"Federal Election - December 9, 1961",47.9,42.1,33.6,8.5,N/A,N/A,N/A,N/A,10.0
"Federal Election - November 22, 1958",42.8,46.5,37.2,9.3,N/A,N/A,N/A,N/A,10.7
"Federal Election - December 10, 1955",44.6,47.6,39.7,7.9,N/A,N/A,N/A,N/A,7.8
"Federal Election - May 29, 1954",50.0,46.8,38.3,8.5,N/A,N/A,N/A,N/A,3.2
"Federal Election - April 28, 1951",47.6,50.3,40.6,9.7,N/A,N/A,N/A,N/A,2.1
"Federal Election - December 10, 1949",46.0,50.3,39.4,10.9,N/A,N/A,N/A,N/A,3.7
"Federal Election - September 28, 1946",49.7,43.7,32.3,11.4,N/A,N/A,N/A,N/A,6.6
"Federal Election - August 21, 1943",49.9,32.1,19.6,12.5,N/A,N/A,N/A,N/A,18.0
"Federal Election - September 21, 1940",40.2,43.9,30.2,13.7,N/A,N/A,N/A,N/A,15.9
"Federal Election - October 23, 1937",43.2,50.0,34.4,15.6,N/A,N/A,N/A,N/A,6.8
"Federal Election - September 15, 1934",41.2,49.6,37.0,12.6,N/A,N/A,N/A,N/A,9.2
"Federal Election - December 19, 1931",37.7,48.4,36.1,12.3,N/A,N/A,N/A,N/A,13.9
"Federal Election - October 12, 1929",48.8,45.1,33.9,11.2,N/A,N/A,N/A,N/A,2.2
"Federal Election - November 17, 1928",44.6,51.2,39.1,12.1,N/A,N/A,N/A,N/A,4.2
"Federal Election - November 14, 1925",45.0,53.2,42.5,10.7,N/A,N/A,N/A,N/A,1.8
"Federal Election - December 16, 1922",42.3,52.5,39.9,12.6,N/A,N/A,N/A,N/A,5.2
"Federal Election - December 13, 1919",42.5,54.4,45.1,9.3,N/A,N/A,N/A,N/A,3.1
"Federal Election - May 5, 1917",43.9,54.2,54.2,N/A,N/A,N/A,N/A,N/A,1.9
"Federal Election - September 5, 1914",50.9,47.2,47.2,N/A,N/A,N/A,N/A,N/A,1.9
"Federal Election - May 31, 1913",48.5,48.9,48.9,N/A,N/A,N/A,N/A,N/A,2.6
"Federal Election - April 13, 1910",50.0,45.1,45.1,N/A,N/A,N/A,N/A,N/A,4.9
"Federal Election - December 12, 1906",36.6,38.2,38.2,N/A,N/A,N/A,N/A,N/A,25.2
"Federal Election - December 16, 1903",31.0,34.9,34.9,N/A,N/A,N/A,N/A,N/A,34.1
"Federal Election - March 29/30, 1901",15.8,30.0,30.0,N/A,N/A,N/A,N/A,N/A,54.2
